solver;instance_source_file_name;time_limit;time;gap;nodes;best_solution;best_bound;matrix_constraints;matrix_variables;matrix_nonzeros;matrix_post_constraints;matrix_post_variables;matrix_post_nonzeros;first_relaxed;first_solution_BestInteger;first_solution_CutsBestBound;cut_info_best_bound;cut_info_best_solution;cut_info_time;cut_info_CLIQUE;cut_info_COVER;cut_info_FLOW;cut_info_GOMORY;cut_info_IMPLIED_BOUND;cut_info_LIFT_AND_PROJECT;cut_info_MIR;cut_info_OUTROS;cut_info_ZERO_HALF
CBC;cap122;300;2,04;0;10;109144,2891860626;109144,2891860626;100;2550;5050;100;2549;5049;106539,59;125521,26;106539,59;;;;;;;;;;;;
CPLEX;cap122;600;0,05;0;0,0;109144,28919;109144,28919;100;2549;5049;100;2549;5049;0,0;42177400,0;0,0;109144,2892;109144,2892;0,05;;;;4;12;1;;;
GUROBI;cap122;600;0,05;0;1,0;109144,289186;109144,289186;100;2550;5050;100;2549;5049;105308,804;2881974,2;105308,804;108151,155;109144,28919;0,0;;;;3;10;1;2;;
CBC;cap122;600;2,04;0;10;109144,2891860626;109144,2891860626;100;2550;5050;100;2549;5049;106539,59;125521,26;106539,59;;;;;;;;;;;;
CPLEX;cap123;120;0,04;0;0,0;124144,28919;124144,28919;100;2549;5049;100;2549;5049;0,0;42422400,0;0,0;120,0;124144,2892;0,04;;;;4;13;;;;
GUROBI;cap123;120;0,03;0;1,0;124144,289186;124144,289186;100;2550;5050;100;2549;5049;122497,609;3021974,2;122497,609;124144,289;124144,289;0,0;;;;2;9;;1;;
CBC;cap123;120;0,56;0;4;124144,2891860626;124144,2891860626;100;2550;5050;100;2549;5049;123645,58;157771,74;123645,58;;;;;;;;;;;;
CPLEX;cap123;300;0,04;0;0,0;124144,28919;124144,28919;100;2549;5049;100;2549;5049;0,0;42422400,0;0,0;120,0;124144,2892;0,04;;;;4;13;;;;
GUROBI;cap123;300;0,03;0;1,0;124144,289186;124144,289186;100;2550;5050;100;2549;5049;122497,609;3021974,2;122497,609;124144,289;124144,289;0,0;;;;2;9;;1;;
CBC;cap123;300;0,56;0;4;124144,2891860626;124144,2891860626;100;2550;5050;100;2549;5049;123645,58;157771,74;123645,58;;;;;;;;;;;;
CPLEX;cap123;600;0,04;0;0,0;124144,28919;124144,28919;100;2549;5049;100;2549;5049;0,0;42422400,0;0,0;120,0;124144,2892;0,04;;;;4;13;;;;
GUROBI;cap123;600;0,03;0;1,0;124144,289186;124144,289186;100;2550;5050;100;2549;5049;122497,609;3021974,2;122497,609;124144,289;124144,289;0,0;;;;2;9;;1;;
CBC;cap123;600;0,55;0;4;124144,2891860626;124144,2891860626;100;2550;5050;100;2549;5049;123645,58;157771,74;123645,58;;;;;;;;;;;;
CPLEX;cap124;120;0,05;0;0,0;146644,28919;146644,28919;100;2549;5049;100;2549;5049;0,0;42789900,0;0,0;146644,2892;146644,2892;0,05;;;;4;58;1;11;;
GUROBI;cap124;120;0,04;0;1,0;146644,289186;146644,289186;100;2550;5050;100;2549;5049;144131,609;3231974,2;144131,609;146291,872;146644,289;0,0;;;5;1;16;1;3;;
CBC;cap124;120;0,27;0;8;146644,2891860626;146644,2891860626;100;2550;5050;100;2549;5049;145259,56;198141,4;145259,56;;;;;;;;;;;;
CPLEX;cap124;300;0,06;0;0,0;146644,28919;146644,28919;100;2549;5049;100;2549;5049;0,0;42789900,0;0,0;146644,2892;146644,2892;0,05;;;;4;58;1;11;;
GUROBI;cap124;300;0,04;0;1,0;146644,289186;146644,289186;100;2550;5050;100;2549;5049;144131,609;3231974,2;144131,609;146291,872;146644,289;0,0;;;5;1;16;1;3;;
CBC;cap124;300;0,27;0;8;146644,2891860626;146644,2891860626;100;2550;5050;100;2549;5049;145259,56;198141,4;145259,56;;;;;;;;;;;;
CPLEX;cap124;600;0,06;0;0,0;146644,28919;146644,28919;100;2549;5049;100;2549;5049;0,0;42789900,0;0,0;146644,2892;146644,2892;0,06;;;;4;58;1;11;;
GUROBI;cap124;600;0,04;0;1,0;146644,289186;146644,289186;100;2550;5050;100;2549;5049;144131,609;3231974,2;144131,609;146291,872;146644,289;0,0;;;5;1;16;1;3;;
CBC;cap124;600;0,28;0;8;146644,2891860626;146644,2891860626;100;2550;5050;100;2549;5049;145259,56;198141,4;145259,56;;;;;;;;;;;;
CPLEX;cap131;120;0,04;0;0,0;72404,4;72404,4;100;2549;5049;100;2549;5049;0,0;73333,2;0,0;72404,4;72404,4;0,04;;;;1;45;;25;;
GUROBI;cap131;120;0,03;0;1,0;72404,4;72404,4;100;2550;5050;100;2549;5049;65943,7402;2741974,2;65943,7402;72404,4;72404,4;0,0;;;;1;49;;;;
CBC;cap131;120;0,32;0;8;72404,40000000072;72404,40000000072;100;2550;5050;100;2549;5049;68419,863;98403,272;68419,863;;;;;;;;;;;;
CPLEX;cap131;300;0,04;0;0,0;72404,4;72404,4;100;2549;5049;100;2549;5049;0,0;73333,2;0,0;72404,4;72404,4;0,04;;;;1;45;;25;;
GUROBI;cap131;300;0,03;0;1,0;72404,4;72404,4;100;2550;5050;100;2549;5049;65943,7402;2741974,2;65943,7402;72404,4;72404,4;0,0;;;;1;49;;;;
